simulation_id,timestamp,node_id,cpu,memory,battery,rssi,packet_loss,latency,throughput,queue_size,traffic_load,link_quality,mobility_speed
35,13,2,16.904530,2.905561,100.000000,14.295551,0.857044,58.632933,1.000000,2,0.000000,0.142956,4.414506
35,13,3,22.394180,6.801060,100.000000,13.784440,0.862156,59.041565,0.000000,0,0.000000,0.137844,3.953289
35,13,4,0.976850,1.101684,100.000000,14.138192,0.858618,58.758396,0.000000,0,0.000000,0.141382,6.030497
35,13,5,10.865830,11.118289,100.000000,16.976970,0.830230,56.493770,1.000000,1,0.000000,0.169770,9.434349
35,13,6,11.783245,10.073164,100.000000,18.944931,0.810551,54.930656,1.000000,1,0.000000,0.189449,6.511675
35,13,7,5.210278,9.771614,100.000000,28.153319,0.718467,47.589024,1.000000,1,868.000000,0.281533,8.286927
35,13,8,6.579421,5.303013,100.000000,14.953781,0.850462,58.107960,0.000000,2,2744.000000,0.149538,9.902659
35,13,9,3.668815,3.753999,100.000000,14.884019,0.851160,58.163185,1.000000,1,670.000000,0.148840,1.194532
35,13,10,0.079327,7.481206,100.000000,14.138192,0.858618,58.758396,0.000000,0,0.000000,0.141382,3.679274
35,14,1,8.091476,2.888651,100.000000,21.113588,0.788864,53.194346,0.000000,0,998.000000,0.211136,1.760948
35,14,2,16.211592,4.267747,100.000000,14.760384,0.852396,58.261941,1.000000,1,0.000000,0.147604,4.414506
35,14,3,24.428444,9.552453,100.000000,13.148023,0.868520,59.549131,0.000000,0,0.000000,0.131480,3.953289
35,14,4,1.548547,1.991858,100.000000,15.346567,0.846534,57.794057,0.000000,0,2825.000000,0.153466,6.030497
35,14,5,14.253886,10.201720,100.000000,16.484386,0.835156,56.886945,1.000000,0,0.000000,0.164844,9.434349
35,14,6,12.893639,12.544875,100.000000,19.028977,0.809710,54.863089,0.000000,1,1156.000000,0.190290,6.511675
35,14,7,1.330199,11.902016,100.000000,27.877800,0.721222,47.808103,0.000000,1,0.000000,0.278778,8.286927
35,14,8,4.872919,2.984562,100.000000,14.493122,0.855069,58.475269,0.000000,2,0.000000,0.144931,9.902659
35,14,9,8.001255,6.350642,100.000000,14.600479,0.853995,58.389578,2.000000,0,0.000000,0.146005,1.194532
